name,artist,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist,0,0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,235613,4,pop
Fancy,Iggy Azalea,The New Classic (Deluxe Version),65,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.981,199938,4,pop
The Hills,The Weeknd,Beauty Behind The Madness,85,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4,pop
Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,80,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4,pop
Sorry,Justin Bieber,Purpose (Deluxe),79,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,4,pop
Panda,Desiigner,Panda,64,0.685,0.731,10,-5.503,0,0.414,0.0292,0.0,0.369,0.266,145.245,247867,4,pop
Something Just Like This,The Chainsmokers,Memories...Do Not Open,82,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4,pop
Feel It Still,Portugal. The Man,Woodstock,74,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4,pop
High Hopes,Panic! At The Disco,Pray for the Wicked,78,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4,pop
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",80,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,pop
Happier,Marshmello,Happier,80,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4,pop
"Happy - From ""Despicable Me 2""",Pharrell Williams,G I R L,78,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,232720,4,pop
Wake Me Up,Avicii,True,3,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4,pop
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,84,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4,pop
Ho Hey,The Lumineers,The Lumineers,72,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133,4,pop
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),80,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4,pop
HUMBLE.,Kendrick Lamar,DAMN.,81,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4,pop
We Are Young (feat. Janelle Monáe),fun.,Some Nights,71,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627,4,pop
Want to Want Me,Jason Derulo,Everything Is 4,72,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,207719,4,pop
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,80,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,4,pop
I'm Not The Only One,Sam Smith,In The Lonely Hour,83,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,239317,4,pop
Rather Be (feat. Jess Glynne),Clean Bandit,Rather Be (feat. Jess Glynne),69,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,4,pop
Moves Like Jagger,Maroon 5,Skiing Workout Mix,56,0.72,0.748,11,-4.468,0,0.0464,0.0124,0.0,0.312,0.614,128.008,201240,4,pop
This Is What You Came For,Calvin Harris,This Is What You Came For,81,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,222160,4,pop
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),64,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,221947,4,pop
Believer,Imagine Dragons,Evolve,85,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,4,pop
Unforgettable,French Montana,Jungle Rules,79,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4,pop
I Took A Pill In Ibiza,Mike Posner,"At Night, Alone.",47,0.637,0.318,10,-10.07,1,0.0716,0.622,1.58e-06,0.125,0.383,74.11,280800,4,pop
Stay,Rihanna,Unapologetic (Deluxe),66,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,240707,4,pop
Girls Like You,Maroon 5,Red Pill Blues (Deluxe),61,0.611,0.462,0,-7.054,1,0.0646,0.558,1.01e-06,0.131,0.377,59.635,215230,4,pop
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,80,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,4,pop
Truth Hurts,Lizzo,Cuz I Love You (Deluxe),59,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4,pop
Shut Up and Dance,WALK THE MOON,TALKING IS HARD (Expanded Edition),61,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,4,pop
Havana (feat. Young Thug),Camila Cabello,Camila,77,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,pop
Thunder,Imagine Dragons,Evolve,82,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4,pop
Rude,MAGIC!,Don't Kill the Magic,78,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,224840,4,pop
Sugar,Maroon 5,V,79,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,4,pop
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),79,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,4,pop
New Rules,Dua Lipa,Dua Lipa (Deluxe),78,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4,pop
See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth),79,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229526,4,pop
Call Me Maybe,Carly Rae Jepsen,Kiss (Deluxe),70,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4,pop
All of Me,John Legend,Love In The Future (Expanded Edition),82,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,4,pop
Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,Random Access Memories,71,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,369627,4,pop
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,79,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4,pop
Party Rock Anthem,LMFAO,Sorry For Party Rocking,66,0.75,0.727,5,-4.21,0,0.142,0.0189,0.0,0.266,0.359,129.993,262173,4,pop
Pompeii,Bastille,Bad Blood,69,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,214148,4,pop
Without Me,Halsey,Without Me,74,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,pop
Lean On,Major Lazer,Peace Is The Mission (Extended),70,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,4,pop
OMG (feat. will.i.am),Usher,Raymond v Raymond (Expanded Edition),70,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,4,pop
I Like It,Cardi B,Invasion of Privacy,75,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,253390,4,pop
Shake It Off,Taylor Swift,1989,71,0.647,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.015,219200,4,pop
Closer,The Chainsmokers,Closer,82,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4,pop
All About That Bass,Meghan Trainor,Title (Deluxe),72,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,187920,4,pop
Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,72,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,180480,4,pop
God's Plan,Drake,Scorpion,81,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4,pop
"Hold On, We're Going Home",Drake,Nothing Was The Same,69,0.777,0.414,6,-7.44,0,0.0946,0.00421,2.73e-05,0.0724,0.287,100.002,227880,4,pop
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,82,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4,pop
The Middle,Zedd,The Middle,77,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732,4,pop
Paper Planes,M.I.A.,Kala,4,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.65,0.485,172.247,205200,4,pop
Lips Are Movin,Meghan Trainor,Lips Are Movin,0,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,182667,4,pop
Black Magic,Little Mix,Black Magic,0,0.777,0.898,4,-4.461,1,0.0581,0.0322,0.0,0.313,0.866,111.996,211787,4,pop
On My Mind,Ellie Goulding,Delirium (Deluxe),62,0.702,0.705,0,-6.666,1,0.0543,0.258,5.93e-06,0.0879,0.743,154.911,213445,4,pop
Focus,Ariana Grande,Focus,0,0.612,0.875,1,-6.032,1,0.351,0.253,0.0,0.423,0.823,99.882,211360,4,pop
Same Old Love,Selena Gomez,Revival (Deluxe),69,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,229080,4,pop
Locked Away (feat. Adam Levine),R. City,What Dreams Are Made Of,76,0.509,0.671,1,-5.709,1,0.0678,0.304,0.0,0.0452,0.55,118.413,227480,5,pop
Good For You,Selena Gomez,Good For You,0,0.6,0.676,5,-6.447,0,0.0652,0.154,0.0,0.0741,0.217,88.928,221560,4,pop
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,Some Type of Love,61,0.795,0.616,1,-5.281,0,0.06,0.417,0.0,0.349,0.815,110.015,190453,4,pop
Body on Me (feat. Chris Brown),Rita Ora,Body on Me (feat. Chris Brown),6,0.636,0.741,11,-5.436,0,0.041,0.0132,0.0,0.287,0.53,88.999,225218,4,pop
Habits (Stay High),Tove Lo,Queen Of The Clouds,56,0.733,0.65,5,-3.539,1,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,209160,4,pop
Made In The USA,Demi Lovato,Demi (Deluxe),0,0.578,0.865,8,-3.903,1,0.0407,0.00109,0.0,0.32,0.583,87.525,196093,4,pop
Breakfast,Fleur East,"Love, Sax & Flashbacks (Track by Track)",19,0.749,0.811,1,-5.323,1,0.13,0.22,2.7e-06,0.7,0.605,116.975,204600,4,pop
Love Me Like You,Little Mix,Now That's What I Call Music! 92,15,0.787,0.642,7,-4.42,1,0.042,0.166,0.0,0.185,0.87,106.054,198453,4,pop
Perfect,One Direction,Perfect,0,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,230333,4,pop
Watch Me (Whip / Nae Nae),Silentó,Watch Me (Whip / Nae Nae),0,0.819,0.768,8,-8.522,1,0.134,0.234,0.0,0.334,0.964,139.982,185131,4,pop
Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),0,0.652,0.757,1,-6.819,1,0.153,0.286,0.0,0.0886,0.962,159.911,233305,4,pop
Problem,Ariana Grande,My Everything (Deluxe),0,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.009,193920,4,pop
One Call Away,Charlie Puth,Nine Track Mind,70,0.667,0.613,1,-5.353,1,0.0344,0.403,0.0,0.115,0.47,91.024,194453,4,pop
What Do You Mean?,Justin Bieber,Purpose (Deluxe),0,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680,4,pop
Where Are Ü Now,Skrillex,Purpose (Deluxe),0,0.432,0.74,7,-5.053,1,0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520,4,pop
Weird People,Little Mix,Get Weird (Deluxe),0,0.746,0.877,5,-3.985,0,0.054,0.0143,0.0,0.392,0.783,128.0,211333,4,pop
Tears Dry On Their Own,Amy Winehouse,AMY (Original Motion Picture Soundtrack),0,0.614,0.782,1,-5.992,0,0.155,0.489,0.0,0.24,0.505,121.517,187200,4,pop
Rehab - Live On Jools Holland,Amy Winehouse,AMY (Original Motion Picture Soundtrack),0,0.42,0.776,0,-5.444,1,0.0809,0.0501,1.48e-05,0.179,0.429,144.823,221267,4,pop
Don't Wait,Mapei,Hey Hey,45,0.742,0.501,7,-6.161,1,0.065,0.0872,2.18e-06,0.178,0.328,98.991,215973,4,pop
Shots,Imagine Dragons,Smoke + Mirrors (Deluxe),0,0.569,0.766,2,-6.867,1,0.036,0.0075,0.00779,0.309,0.337,104.963,232333,4,pop
Waiting For Love,Avicii,Stories,0,0.577,0.741,6,-3.83,0,0.0501,0.298,0.0,0.142,0.581,128.081,230613,4,pop
For A Better Day,Avicii,Stories,0,0.631,0.836,2,-3.386,0,0.0343,0.0482,0.139,0.135,0.321,134.987,206067,4,pop
Skyscraper,Demi Lovato,Unbroken,43,0.573,0.581,7,-3.325,1,0.0276,0.148,0.0,0.128,0.188,103.82,221293,4,pop
Give Your Heart a Break,Demi Lovato,Unbroken,40,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008,205347,4,pop
Heart Attack,Demi Lovato,Demi,0,0.503,0.785,8,-4.756,1,0.0971,0.0817,0.0,0.25,0.508,173.962,210840,4,pop
Neon Lights,Demi Lovato,Demi,0,0.628,0.829,9,-4.243,1,0.118,0.0808,0.0,0.0988,0.734,125.936,233173,4,pop
Really Don't Care,Demi Lovato,Demi,0,0.703,0.733,7,-3.598,1,0.0852,0.111,0.0,0.119,0.82,121.008,201600,4,pop
Cool for the Summer,Demi Lovato,Confident (Deluxe Edition),0,0.587,0.62,5,-5.612,0,0.0366,0.00504,0.000181,0.0762,0.286,114.08,214740,4,pop
We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),77,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,231240,4,pop
Can't Be Tamed,Miley Cyrus,Can't Be Tamed,0,0.63,0.91,11,-2.919,0,0.144,0.0287,0.0,0.196,0.743,116.98,168213,4,pop
Who Owns My Heart,Miley Cyrus,Can't Be Tamed,0,0.571,0.805,9,-4.985,0,0.129,0.0106,0.0,0.0864,0.356,135.908,214853,4,pop
This Is Me,Joe Jonas,Disney Channel Playlist,0,0.468,0.83,1,-2.799,1,0.0373,0.013,0.0,0.0987,0.663,91.044,187733,4,pop
Birthday,Katy Perry,PRISM,0,0.715,0.664,11,-5.113,1,0.0702,0.0938,2.5e-06,0.116,0.839,126.063,215042,4,pop
Teenage Dream,Katy Perry,Teenage Dream: The Complete Confection,63,0.719,0.804,10,-4.581,1,0.0355,0.0132,3.02e-06,0.139,0.605,119.999,227760,4,pop
Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream: The Complete Confection,72,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,230747,4,pop
California Gurls,Katy Perry,Teenage Dream: The Complete Confection,72,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653,4,pop
Firework,Katy Perry,Teenage Dream: The Complete Confection,68,0.638,0.826,8,-4.968,1,0.0479,0.139,0.0,0.0803,0.649,124.072,227880,4,pop
Peacock,Katy Perry,Teenage Dream: The Complete Confection,48,0.825,0.759,0,-3.121,1,0.0427,0.0563,0.0,0.202,0.942,139.975,231920,4,pop
E.T.,Katy Perry,Teenage Dream: The Complete Confection,68,0.603,0.872,5,-5.404,0,0.0792,0.0213,0.0,0.366,0.691,150.104,206373,4,pop
Part Of Me,Katy Perry,Teenage Dream: The Complete Confection,71,0.678,0.918,5,-4.63,1,0.0355,0.000417,0.0,0.0744,0.769,130.028,216160,4,pop
Wide Awake,Katy Perry,Teenage Dream: The Complete Confection,66,0.514,0.683,5,-5.099,1,0.0367,0.0749,2.64e-06,0.392,0.575,159.814,220947,4,pop
Drunk in Love (feat. Jay-Z),Beyoncé,BEYONCÉ [Platinum Edition],71,0.583,0.621,5,-6.902,0,0.0479,0.00972,0.00106,0.181,0.399,140.036,323480,4,pop
Run the World (Girls),Beyoncé,4,70,0.732,0.899,0,-4.237,1,0.143,0.00496,4.64e-05,0.372,0.759,127.091,236093,4,pop
Best Thing I Never Had,Beyoncé,4,66,0.546,0.649,6,-4.056,1,0.0324,0.143,1.55e-05,0.0894,0.298,99.05,253747,4,pop
Dançando,Agridoce,Agridoce,0,0.31,0.398,9,-9.758,1,0.0291,0.719,0.0343,0.121,0.246,110.131,349574,4,pop
Here,Alessia Cara,Four Pink Walls,0,0.374,0.82,0,-4.055,1,0.102,0.0751,0.0,0.0823,0.357,122.841,199453,4,pop
Wild Things,Alessia Cara,Know-It-All (Deluxe),3,0.741,0.626,1,-4.826,0,0.0886,0.02,0.0,0.0828,0.706,108.029,188493,4,pop
I Know What You Did Last Summer,Shawn Mendes,Handwritten (Revisited),0,0.657,0.769,9,-4.591,0,0.115,0.123,0.0,0.245,0.712,113.966,223827,4,pop
Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Deluxe),0,0.539,0.643,9,-3.982,1,0.0479,0.256,0.0,0.29,0.136,92.962,249813,4,pop
In The Night,The Weeknd,Beauty Behind The Madness,0,0.48,0.682,7,-4.94,1,0.13,0.0696,0.0,0.0463,0.506,167.939,235653,3,pop
Treasure,Bruno Mars,Unorthodox Jukebox,77,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4,pop
The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,75,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,189109,4,pop
Grenade,Bruno Mars,Doo-Wops & Hooligans,76,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,222091,4,pop
93 Million Miles,Jason Mraz,Love Is a Four Letter Word,64,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,216387,4,pop
Hold Back The River,James Bay,Chaos And The Calm,67,0.715,0.715,5,-7.364,1,0.0902,0.0526,0.0,0.0936,0.507,134.922,238747,4,pop
Hold My Hand,Jess Glynne,I Cry When I Laugh,56,0.642,0.823,0,-5.717,1,0.0289,0.00159,0.0,0.0776,0.431,122.977,227344,4,pop
Real Love,Clean Bandit,New Eyes,43,0.63,0.848,0,-4.592,1,0.0428,0.0834,4.34e-06,0.205,0.551,124.987,219692,4,pop
Don't Wait - Chance The Rapper & The Social Experiment Remix,Mapei,Don't Wait (Remixes),29,0.722,0.493,7,-6.523,1,0.1,0.204,2.26e-06,0.184,0.359,99.074,215907,4,pop
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,Shakira. (Expanded Edition) [Spanish Version],61,0.795,0.819,11,-4.933,1,0.0433,0.184,0.0013,0.346,0.613,127.984,197627,4,pop
Ginza - Anitta Remix,J Balvin,Ginza (Anitta Remix),0,0.824,0.833,10,-5.613,0,0.0675,0.0539,0.00192,0.098,0.867,101.975,170360,4,pop
PILLOWTALK,ZAYN,PILLOWTALK,58,0.588,0.702,11,-4.271,1,0.0496,0.104,0.0,0.089,0.429,124.909,203686,4,pop
Bang My Head (feat. Sia & Fetty Wap),David Guetta,Listen Again,57,0.599,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.593,108.061,193333,4,pop
Nobody's Perfect,Jessie J,Who You Are (Deluxe Edition),31,0.581,0.881,7,-3.22,0,0.28,0.00228,0.0,0.663,0.663,163.064,259867,4,pop
Bang Bang,Jessie J,Sweet Talker (Deluxe Version),0,0.711,0.774,0,-3.391,0,0.0922,0.259,0.0,0.371,0.715,150.032,199387,4,pop
How We Do (Party),Rita Ora,ORA,24,0.738,0.922,7,-3.94,1,0.0833,0.0034,0.0,0.0986,0.689,116.024,247027,4,pop
Die Young,Kesha,Warrior (Deluxe Version),0,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4,pop
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,Girl On Fire,52,0.591,0.808,9,-5.943,1,0.288,0.0869,0.00396,0.147,0.337,92.864,270720,4,pop
Chandelier,Sia,1000 Forms Of Fear,77,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120,5,pop
Piece by Piece,Kelly Clarkson,Piece By Piece (Deluxe Version),52,0.59,0.808,1,-6.728,1,0.0408,0.000953,1.53e-06,0.0918,0.601,106.029,257747,4,pop
Bring Back the Summer - Boehm Remix (Radio Edit),Rain Man,Bring Back the Summer (Remixes Part 1),10,0.615,0.832,2,-4.82,1,0.032,0.112,0.00175,0.335,0.413,98.015,225306,4,pop
Tears (feat. Louisa Johnson) - Wideboys Remix,Clean Bandit,Tears (feat. Louisa Johnson) [Wideboys Remix],17,0.651,0.836,10,-6.356,0,0.0577,0.000849,0.0249,0.027,0.463,125.027,286080,4,pop
Cheap Thrills,Sia,This Is Acting,76,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4,pop
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",76,0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,236002,4,pop
Make Me... (feat. G-Eazy),Britney Spears,Glory (Deluxe Version),0,0.701,0.7,7,-6.672,0,0.0925,0.146,0.0,0.206,0.592,122.984,230960,4,pop
Send My Love (To Your New Lover),Adele,Send My Love (To Your New Lover),0,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023,223080,4,pop
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,7/27 (Deluxe),58,0.689,0.791,0,-5.194,0,0.053,0.023,0.0,0.0526,0.755,95.04,210573,4,pop
Lay You Down Easy (feat. Sean Paul),MAGIC!,Lay You Down Easy (feat. Sean Paul),42,0.644,0.868,6,-5.301,1,0.0738,0.0476,0.0,0.28,0.947,89.971,163246,4,pop
NO,Meghan Trainor,NO,27,0.742,0.809,1,-3.591,0,0.176,0.0116,2.77e-06,0.726,0.632,93.95,213524,4,pop
Lush Life,Zara Larsson,Lush Life,0,0.694,0.712,7,-3.923,0,0.046,0.133,0.0,0.211,0.799,98.022,201122,4,pop
Hair (feat. Sean Paul),Little Mix,Hair (feat. Sean Paul),0,0.712,0.835,7,-4.676,1,0.0487,0.00623,1.68e-06,0.843,0.741,153.956,233827,4,pop
Don't Let Me Down,The Chainsmokers,Don't Let Me Down,77,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373,4,pop
Hotline Bling,Drake,Hotline Bling,0,0.893,0.639,2,-7.857,1,0.0549,0.00226,0.000315,0.0382,0.579,134.963,267024,4,pop
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,75,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,263787,4,pop
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,I Took A Pill In Ibiza (Seeb Remix),0,0.673,0.79,7,-4.663,0,0.0893,0.037,9.95e-06,0.0875,0.705,102.013,199227,4,pop
Hymn for the Weekend,Coldplay,A Head Full of Dreams,80,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267,4,pop
Sugar (feat. Francesco Yates),Robin Schulz,Sugar,74,0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063,219043,4,pop
Roses,The Chainsmokers,Roses,71,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,4,pop
Hide Away,Daya,Daya,0,0.884,0.826,11,-3.672,0,0.0854,0.222,2.29e-06,0.0719,0.466,94.997,192381,4,pop
My House,Flo Rida,My House,73,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191,4,pop
Alive,Sia,This Is Acting,54,0.508,0.762,6,-4.217,0,0.0489,0.254,0.000122,0.108,0.444,99.963,263520,4,pop
Cake By The Ocean,DNCE,SWAAY,0,0.774,0.765,4,-5.503,0,0.0517,0.156,0.0,0.0523,0.908,119.018,218440,4,pop
Needed Me,Rihanna,ANTI,0,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,191600,4,pop
Be the One,Dua Lipa,Be the One,66,0.661,0.651,7,-3.771,0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,202915,4,pop
The Best Day of My Life,Jason Goodman,When I Met You in the Summer,25,0.666,0.88,11,-6.09,0,0.0265,0.00726,0.000544,0.33,0.492,100.047,197094,4,pop
